,precision,recall,f1-score,support
yue,0.4722222222222222,0.020757020757020756,0.039766081871345026,819.0
bos,0.7034120734908137,0.5794594594594594,0.6354475400118554,925.0
hrv,0.6397400185701021,0.7538293216630197,0.6921145153189352,914.0
kam,1.0,0.37484885126964934,0.5452946350043976,827.0
cmn,0.5217391304347826,0.025396825396825397,0.04843592330978809,945.0
swh,0.5848375451263538,0.997946611909651,0.7374810318664643,487.0
zsm,0.9588652482269504,0.9025367156208278,0.9298486932599724,749.0
nya,0.9703808180535967,0.9040735873850198,0.9360544217687075,761.0
ind,0.8918918918918919,0.9606986899563319,0.9250175192711984,687.0
kea,1.0,0.9155092592592593,0.9558912386706949,864.0
micro avg,0.8118861328450141,0.6113060917523189,0.6974615659635324,7978.0
macro avg,0.7743088948016713,0.6435056342677065,0.6445351600353358,7978.0
weighted avg,0.7721694047229861,0.6113060917523189,0.6240918886850036,7978.0
