;precision;recall;f1-score;support
hau_Latn;0.9960591133004926;0.9990118577075099;0.9975333004440058;1012.0
ell_Grek;1.0;1.0;1.0;1012.0
zho_Hant;0.9341825902335457;0.43478260869565216;0.593391773432232;1012.0
bos_Latn;0.8050420168067227;0.4733201581027668;0.596141879278158;1012.0
cym_Latn;1.0;1.0;1.0;1012.0
pan_Guru;1.0;1.0;1.0;1012.0
gaz_Latn;0.9990128331688055;1.0;0.9995061728395062;1012.0
luo_Latn;1.0;0.9960474308300395;0.998019801980198;1012.0
lin_Latn;0.9960513326752222;0.9970355731225297;0.9965432098765432;1012.0
zsm_Latn;0.9731682146542827;0.9318181818181818;0.9520444220090862;1012.0
hin_Deva;0.9990108803165183;0.9980237154150198;0.9985170538803757;1012.0
rus_Cyrl;0.9990128331688055;1.0;0.9995061728395062;1012.0
srp_Cyrl;1.0;1.0;1.0;1012.0
lvs_Latn;1.0;1.0;1.0;1012.0
kam_Latn;0.9967793880837359;0.6116600790513834;0.7581139007960809;1012.0
guj_Gujr;1.0;1.0;1.0;1012.0
mya_Mymr;1.0;1.0;1.0;1012.0
npi_Deva;1.0;1.0;1.0;1012.0
swh_Latn;0.7949725058915946;1.0;0.8857768052516412;1012.0
tgl_Latn;0.998025666337611;0.9990118577075099;0.9985185185185185;1012.0
ces_Latn;0.9980276134122288;1.0;0.9990128331688055;1012.0
nld_Latn;0.9950835791543756;1.0;0.9975357318876293;1012.0
azj_Latn;1.0;1.0;1.0;1012.0
mlt_Latn;0.9990128331688055;1.0;0.9995061728395062;1012.0
slv_Latn;0.9970443349753695;1.0;0.9985199802664035;1012.0
mar_Deva;0.9980276134122288;1.0;0.9990128331688055;1012.0
cat_Latn;0.9960629921259843;1.0;0.9980276134122288;1012.0
swe_Latn;0.9990118577075099;0.9990118577075099;0.9990118577075099;1012.0
hye_Armn;1.0;1.0;1.0;1012.0
fuv_Latn;0.9989827060020345;0.9703557312252964;0.9844611528822056;1012.0
ita_Latn;0.9950787401574803;0.9990118577075099;0.9970414201183431;1012.0
vie_Latn;0.9844357976653697;1.0;0.9921568627450981;1012.0
wol_Latn;1.0;0.9920948616600791;0.996031746031746;1012.0
ben_Beng;1.0;1.0;1.0;1012.0
zul_Latn;0.9785365853658536;0.991106719367589;0.9847815414825725;1012.0
kaz_Cyrl;1.0;0.9990118577075099;0.9995056846267919;1012.0
ckb_Arab;1.0;1.0;1.0;1012.0
mkd_Cyrl;1.0;1.0;1.0;1012.0
por_Latn;0.9853801169590644;0.9990118577075099;0.9921491658488716;1012.0
asm_Beng;1.0;1.0;1.0;1012.0
mal_Mlym;1.0;1.0;1.0;1012.0
mri_Latn;1.0;0.9980237154150198;0.9990108803165183;1012.0
ukr_Cyrl;1.0;1.0;1.0;1012.0
kir_Cyrl;1.0;1.0;1.0;1012.0
heb_Hebr;1.0;1.0;1.0;1012.0
kat_Geor;1.0;1.0;1.0;1012.0
kor_Hang;0.9960629921259843;1.0;0.9980276134122288;1012.0
jpn_Jpan;0.9880715705765407;0.9822134387351779;0.9851337958374629;1012.0
uzn_Latn;1.0;1.0;1.0;1012.0
lim_Latn;0.0;0.0;0.0;1012.0
eng_Latn;0.98539435248296;1.0;0.9926434526728788;1012.0
deu_Latn;0.98539435248296;1.0;0.9926434526728788;1012.0
yor_Latn;1.0;0.9970355731225297;0.9985155863433943;1012.0
lit_Latn;0.9990128331688055;1.0;0.9995061728395062;1012.0
gle_Latn;0.9980276134122288;1.0;0.9990128331688055;1012.0
pol_Latn;0.9950835791543756;1.0;0.9975357318876293;1012.0
nya_Latn;0.9832285115303984;0.9268774703557312;0.9542217700915565;1012.0
khm_Khmr;1.0;0.9980237154150198;0.9990108803165183;1012.0
ltz_Latn;1.0;0.9990118577075099;0.9995056846267919;1012.0
glg_Latn;0.9960474308300395;0.9960474308300395;0.9960474308300395;1012.0
