,lang,f1,recall,precision,f1_glot,recall_glot,precision_glot
0,Polish,0.998,1.0,0.995,1.0,1.0,1.0
1,Catalan,0.998,1.0,0.996,1.0,1.0,1.0
2,Burmese,1.0,1.0,1.0,1.0,1.0,1.0
3,Hausa,0.998,0.999,0.996,0.999,1.0,0.997
4,Eastern Panjabi,1.0,1.0,1.0,1.0,1.0,1.0
5,Maltese,1.0,1.0,0.999,1.0,1.0,0.999
6,Nigerian Fulfulde,0.984,0.97,0.999,0.993,0.986,1.0
7,Maori,0.999,0.998,1.0,1.0,1.0,1.0
8,Northern Uzbek,1.0,1.0,1.0,1.0,1.0,0.999
9,Sindhi,1.0,1.0,1.0,1.0,1.0,1.0
10,Umbundu,0.985,0.976,0.993,0.987,0.974,1.0
11,Northern Sotho,0.997,0.994,1.0,0.999,0.997,1.0
12,Southern Pashto,0.998,0.996,1.0,1.0,1.0,1.0
13,Danish,0.995,0.993,0.997,0.996,0.995,0.997
14,Romanian,1.0,1.0,1.0,1.0,0.999,1.0
15,Hungarian,0.998,1.0,0.995,0.999,0.999,0.999
16,Standard Malay,0.952,0.932,0.973,0.929,0.874,0.991
17,Spanish,0.996,0.999,0.993,0.997,1.0,0.993
18,Chinese (Simplified),0.869,0.79,0.966,0.0,0.0,0.0
19,Lingala,0.997,0.997,0.996,0.999,0.998,1.0
20,Somali,1.0,1.0,1.0,1.0,1.0,1.0
21,German,0.993,1.0,0.985,1.0,0.999,1.0
22,Malayalam,1.0,1.0,1.0,1.0,1.0,1.0
23,Nyanja,0.954,0.927,0.983,0.999,0.997,1.0
24,Georgian,1.0,1.0,1.0,1.0,1.0,1.0
25,North Azerbaijani,1.0,1.0,1.0,1.0,1.0,1.0
26,Norwegian Bokmål,0.993,0.993,0.993,0.993,0.991,0.995
27,Italian,0.997,0.999,0.995,0.999,0.999,0.999
28,Galician,0.996,0.996,0.996,0.998,0.997,0.999
29,Zulu,0.985,0.991,0.979,0.975,0.958,0.993
30,Portuguese,0.992,0.999,0.985,0.998,1.0,0.996
31,Kannada,1.0,1.0,1.0,1.0,1.0,1.0
32,Assamese,1.0,1.0,1.0,1.0,1.0,1.0
33,Croatian,0.734,0.885,0.626,0.759,0.947,0.634
