,precision,recall,f1-score,support
yue,0.0,0.0,0.0,74.0
bos,0.5527950310559007,0.388646288209607,0.45641025641025645,458.0
hrv,0.27906976744186046,0.42857142857142855,0.3380281690140845,252.0
kam,1.0,0.08311688311688312,0.15347721822541965,385.0
cmn,0.9047619047619048,0.0286144578313253,0.05547445255474452,664.0
swh,0.004081632653061225,0.5,0.008097165991902834,2.0
zsm,0.9615384615384616,0.9024064171122995,0.9310344827586207,748.0
nya,0.696969696969697,0.2875,0.4070796460176991,80.0
ind,0.2857142857142857,0.5614035087719298,0.378698224852071,57.0
kea,1.0,0.5181818181818182,0.6826347305389222,110.0
micro avg,0.5844155844155844,0.39752650176678445,0.473186119873817,2830.0
macro avg,0.5684930780135171,0.3698440801795292,0.3410934346363721,2830.0
weighted avg,0.7811130151661559,0.39752650176678445,0.4296165158421488,2830.0
