,precision,recall,f1-score,support
yue,1.0,1.0,1.0,74.0
bos,1.0,0.8209606986899564,0.9016786570743405,458.0
hrv,0.7182320441988951,0.5158730158730159,0.6004618937644343,252.0
kam,1.0,0.9844155844155844,0.9921465968586387,385.0
cmn,1.0,1.0,1.0,664.0
swh,0.5,1.0,0.6666666666666666,2.0
zsm,0.0,0.0,0.0,748.0
nya,1.0,0.7875,0.881118881118881,80.0
ind,0.5625,0.47368421052631576,0.5142857142857142,57.0
kea,1.0,0.5363636363636364,0.6982248520710059,110.0
micro avg,0.95995670995671,0.6268551236749117,0.758443779392903,2830.0
macro avg,0.7780732044198896,0.711879714586851,0.7254583261839681,2830.0
weighted avg,0.7014335601194776,0.6268551236749117,0.6580224470756896,2830.0
