,precision,recall,f1-score,support
yue,0.0,0.0,0.0,74.0
bos,0.3090909090909091,0.14847161572052403,0.20058997050147492,458.0
hrv,0.20408163265306123,0.3968253968253968,0.2695417789757413,252.0
kam,1.0,0.007792207792207792,0.015463917525773198,385.0
cmn,0.0,0.0,0.0,664.0
swh,0.0,0.0,0.0,2.0
zsm,0.9603825136612022,0.9398395721925134,0.95,748.0
nya,0.64,0.2,0.30476190476190473,80.0
ind,0.35443037974683544,0.49122807017543857,0.4117647058823529,57.0
kea,1.0,0.42727272727272725,0.5987261146496815,110.0
micro avg,0.3765119001170503,0.3409893992932862,0.35787131466716116,2830.0
macro avg,0.4467985435152008,0.26114295899788076,0.27508483922969285,2830.0
weighted avg,0.5221769822107268,0.3409893992932862,0.3498444368433557,2830.0
