,precision,recall,f1-score,support
yue,1.0,1.0,1.0,819.0
bos,1.0,0.8572972972972973,0.9231664726426076,925.0
hrv,0.8868980963045913,0.8665207877461707,0.8765910348644163,914.0
kam,1.0,0.9915356711003628,0.9957498482088647,827.0
cmn,1.0,1.0,1.0,945.0
swh,0.9959100204498977,1.0,0.9979508196721312,487.0
zsm,0.0,0.0,0.0,749.0
nya,1.0,0.9776609724047306,0.988704318936877,761.0
ind,0.96759941089838,0.9563318777292577,0.9619326500732065,687.0
kea,1.0,0.9409722222222222,0.9695885509838997,864.0
micro avg,0.9821300929235168,0.86111807470544,0.9176517731917452,7978.0
macro avg,0.8850407527652869,0.8590318828500042,0.8713683695382004,7978.0
weighted avg,0.8901195581936179,0.86111807470544,0.8748554264315486,7978.0
